t(s),Bus 1 - pos,Bus 2 - pos,Bus 3 - pos,Bus 4 - pos,Bus 5 - pos,Bus 1 - dist,Bus 2 - dist,Bus 3 - dist,Bus 4 - dist,Bus 5 - dist,Queue 1 - Size,Queue 2 - Size,Queue 3 - Size,Queue 4 - Size,Queue 5 - Size,Queue 6 - Size,Queue 7 - Size,Queue 8 - Size,Queue 9 - Size,Queue 10 - Size,Queue 11 - Size,Queue 12 - Size,Queue 13 - Size,Queue 14 - Size,Queue 15 - Size
0,0,30,60,90,120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,30,60,90,120,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,30,60,90,120,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,30,60,90,120,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,30,60,90,120,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,30,60,90,120,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
0,0,30,60,90,120,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0,0,30,60,90,120,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
0,0,30,60,90,120,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
0,0,30,60,90,120,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
0,0,30,60,90,120,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
0,0,30,60,90,120,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
0,0,30,60,90,120,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0,0,30,60,90,120,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,30,60,90,120,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.8,0,30,60,90,120,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
1.5,0,30,60,90,120,0,0,0,0,0,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
1.9,0,30,60,90,120,0,0,0,0,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1
61.3,2,32,62,92,122,2,2,2,2,2,3,4,4,9,7,5,2,4,5,5,5,3,3,5,5
61.599999999999994,2,32,62,92,122,2,2,2,2,2,3,4,4,9,7,5,2,4,5,5,6,3,3,5,5
240.99999999999997,8,38,68,98,128,8,8,8,8,8,20,14,16,26,16,19,16,16,29,10,25,21,25,20,19
300,10,40,70,100,130,10,10,10,10,10,26,20,20,29,22,21,21,21,36,12,30,26,27,28,26
300,10,40,70,100,130,10,10,10,10,10,26,20,20,29,22,21,21,21,36,12,30,26,27,28,26
300,10,40,70,100,130,10,10,10,10,10,26,20,20,29,22,21,21,21,36,12,30,26,27,28,26
300,10,40,70,100,130,10,10,10,10,10,26,20,20,29,22,21,21,21,36,12,30,26,27,28,26
300,10,40,70,100,130,10,10,10,10,10,26,20,20,29,22,21,21,21,36,12,30,26,27,28,26
300.79999999999995,10,40,70,100,130,10,10,10,10,10,26,20,20,30,22,21,21,21,36,12,30,26,27,28,26
